phone name,Price
"Apple iPhone SE (Rose Gold, 32GB)","  18,999"
"Apple iPhone 6 (Space Grey, 32GB)","  25,489"
"Apple iPhone SE (Space Grey, 32GB)","  18,999"
"Apple iPhone 7 (Jet Black, 32GB)","  42,999"
"Apple iPhone SE (Gold, 32GB)","  18,997"
"Apple iPhone 6s (Space Grey, 32GB)","  34,999"
"Apple iPhone 6 (Gold, 32GB)","  27,990"
OnePlus 5T (Midnight Black 6GB RAM + 64GB memory),"  32,999"
"Apple iPhone 6S Plus (Rose Gold, 32GB)","  39,900"
"Apple iPhone 7 (Black, 32GB)","  42,999"
"Apple iPhone 8 Plus (Space Grey, 256GB)","  83,980"
"Apple iPhone 8 Plus (Space Grey, 64GB)","  66,497"
"Apple iPhone 8 (Space Grey, 64GB)","  54,199"
"Apple iPhone X (Space Grey, 64GB)","  87,400"
"Apple iPhone 6s (Rose Gold, 32GB)","  34,999"
"Apple iPhone 8 Plus (Gold, 256GB)","  84,444"
"Apple iPhone 8 Plus (Silver, 256GB)","  79,425"
"Apple iPhone 6S Plus (Space Grey, 32GB)","  37,999"
"Apple iPhone X (Silver, 64GB)","  88,999"
"(CERTIFIED REFURBISHED) Apple iPhone 5s (Space Grey, 16GB)","  13,499"
"Apple iPhone 7 (Gold, 128GB)","  49,999"
"Apple iPhone 7 (Jet Black, 128GB)","  54,999"
"Apple iPhone 7 (Gold, 32GB)","  42,999"
"Apple iPhone 8 Plus (Silver, 64GB)","  69,991"
