Pendrive	Manufacturer	Price	Saving	Delivered By	Rating
SanDisk Cruzer Blade SDCZ50-016G-135 16GB USB 2.0 Pen Drive	SanDisk	  329	  211 (39%)	"Tomorrow, Jan 16"	4.2 out of 5 stars
SanDisk Ultra Dual 32GB USB 3.0 OTG Pen Drive	SanDisk	  779	  511 (39%)	"Tomorrow, Jan 16"	3.9 out of 5 stars
Sony 16GB Microvault USB Flash Drive	Sony	  349	  231 (39%)		
SanDisk Cruzer Blade 32GB USB Flash Drive	SanDisk	  630	  360 (36%)		4.2 out of 5 stars
SanDisk Ultra Dual 16GB USB 3.0 OTG Pen Drive	SanDisk	  499	  401 (44%)		3.8 out of 5 stars
Sony Microvault 16GB Pen Drive (White)	Sony	  378	  202 (34%)	"Tomorrow, Jan 16"	
Strontium Pollex 16GB USB Pen Drive (Black/Red)	Strontium	  369	  180 (32%)	"Tomorrow, Jan 16"	
Strontium Ammo 16GB 2.0 USB Pen Drive (Silver)	Strontium	  489	  160 (24%)	"Tomorrow, Jan 16"	4.1 out of 5 stars
HP v237w 16GB USB 2.0 Pen Drive	HP	  500			
Kingston 16GB DataTraveler 50 USB 3.0 Flash Drive	Kingston	  399	  351 (46%)		
Sony 16GB USB Metal Pendrive (Silver)	Sony	  424	  301 (41%)		4.1 out of 5 stars
Sony Micro Vault 32GB USB Flash Drive (White)	Sony	  685	  450 (39%)	"Tomorrow, Jan 16"	
SanDisk Ultra CZ48 16GB USB 3.0 Pen Drive (Black)	SanDisk	  449	  226 (33%)		3.9 out of 5 stars
Kingston DataTraveler SE9 16GB USB 2.0 Pen Drive (Champagne)	Kingston	  559	  41 (6%)	"Wednesday, January 17"	4.1 out of 5 stars
SanDisk Ultra Dual 64GB USB 3.0 OTG Pen Drive	SanDisk	"  1,530"	  660 (30%)	"Tomorrow, Jan 16"	3.8 out of 5 stars
SanDisk Cruzer Blade SDCZ50-008G-I35 8GB USB 2.0 Pen Drive	SanDisk	  329	  121 (26%)		
